year;category;sequence;shortname;circuit_name;rider_name;rider_surname;team_name;bike_name;position;points;number;country;speed;time
2021;MotoGP;1;QAT;Losail;Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;1;25;12;ES;167.1;00:42:28
2021;MotoGP;1;QAT;Losail;Zarco; Johann;Pramac Racing;Ducati;2;20;5;FR;167.1;00:42:29
2021;MotoGP;1;QAT;Losail;Bagnaia; Francesco;Ducati Lenovo Team;Ducati;3;16;63;IT;167.1;00:42:30
2021;MotoGP;1;QAT;Losail;Mir; Joan;Team SUZUKI ECSTAR;Suzuki;4;13;36;ES;167.1;00:42:31
2021;MotoGP;1;QAT;Losail;Quartararo; Fabio;Monster Energy Yamaha MotoGP;Yamaha;5;11;20;FR;166.9;00:42:32
2021;MotoGP;1;QAT;Losail;Rins; Alex;Team SUZUKI ECSTAR;Suzuki;6;10;42;ES;166.9;00:42:33
2021;MotoGP;1;QAT;Losail;Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;7;9;41;ES;166.7;00:42:34
2021;MotoGP;1;QAT;Losail;Espargaro; Pol;Repsol Honda Team;Honda;8;8;44;ES;166.7;00:42:35
2021;MotoGP;1;QAT;Losail;Miller; Jack;Ducati Lenovo Team;Ducati;9;7;43;AU;166.7;00:42:36
2021;MotoGP;1;QAT;Losail;Bastianini; Enea;Esponsorama Racing;Ducati;10;6;23;IT;166.5;00:42:37
2021;MotoGP;1;QAT;Losail;Bradl; Stefan;Repsol Honda Team;Honda;11;5;6;DE;166.5;00:42:38
2021;MotoGP;1;QAT;Losail;Rossi; Valentino;Petronas Yamaha SRT;Yamaha;12;4;46;IT;166.4;00:42:39
2021;MotoGP;1;QAT;Losail;Oliveira; Miguel;Red Bull KTM Factory Racing;KTM;13;3;88;PT;166.4;00:42:40
2021;MotoGP;1;QAT;Losail;Binder; Brad;Red Bull KTM Factory Racing;KTM;14;2;33;ZA;166.2;00:42:41
2021;MotoGP;1;QAT;Losail;Martin; Jorge;Pramac Racing;Ducati;15;1;89;ES;166.1;00:42:42
2021;MotoGP;1;QAT;Losail;Marini; Luca;SKY VR46 Esponsorama;Ducati;16;0;10;IT;165.8;00:42:43
2021;MotoGP;1;QAT;Losail;Lecuona; Iker;Tech 3 KTM Factory Racing;KTM;17;0;27;ES;165.8;00:42:44
2021;MotoGP;1;QAT;Losail;Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;18;0;21;IT;165.6;00:42:45
2021;MotoGP;1;QAT;Losail;Savadori; Lorenzo;Aprilia Racing Team Gresini;Aprilia;19;0;32;IT;164.1;00:42:46
2021;MotoGP;1;QAT;Losail;Marquez; Alex;LCR Honda CASTROL;Honda;-1;0;73;ES;166.3;00:42:47
2021;MotoGP;1;QAT;Losail;Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;-1;0;30;JP;165.0;00:42:48
2021;MotoGP;1;QAT;Losail;Petrucci; Danilo;Tech 3 KTM Factory Racing;KTM;-4;0;9;IT;;00:42:49